batsman,batsman_runs,ball,matches,Avg,StrikeRate
A Symonds,973,734,36,27,133
AB de Villiers,3460,2296,118,29,151
AC Gilchrist,2046,1438,80,26,142
AD Russell,574,325,25,23,177
AJ Finch,1601,1186,64,25,135
AM Rahane,3055,2498,105,29,122
AT Rayudu,2411,1879,105,23,128
BA Stokes,316,219,11,29,144
BB McCullum,2736,2040,103,27,134
BJ Hodge,1399,1099,63,22,127
CA Lynn,382,238,12,32,161
CH Gayle,3610,2334,100,36,155
CJ Anderson,521,394,26,20,132
CL White,962,749,45,21,128
DA Miller,1552,1072,64,24,145
DA Warner,3985,2754,114,35,145
DJ Hussey,1316,1050,60,22,125
DPMD Jayawardene,1806,1430,78,23,126
DR Smith,2379,1706,88,27,139
F du Plessis,1294,1001,46,28,129
G Gambhir,4112,3244,146,28,127
GC Smith,731,652,29,25,112
GJ Maxwell,1225,713,55,22,172
HH Gibbs,886,781,36,25,113
HM Amla,575,397,16,36,145
Ishan Kishan,319,241,15,21,132
JC Buttler,527,353,24,22,149
JD Ryder,596,444,29,21,134
JEC Franklin,327,294,16,20,111
JH Kallis,2419,2182,95,25,111
JP Duminy,1990,1557,73,27,128
JR Hopes,417,304,19,22,137
KA Pollard,2342,1549,112,21,151
KC Sangakkara,1680,1354,68,25,124
KD Karthik,2894,2256,134,22,128
KH Pandya,480,296,18,27,162
KK Nair,1153,891,50,23,129
KL Rahul,724,560,30,24,129
KP Pietersen,1000,724,36,28,138
KS Williamson,411,307,15,27,134
LMP Simmons,1079,835,29,37,129
M Vijay,2511,2003,99,25,125
M Vohra,957,710,41,23,135
MEK Hussey,1976,1576,58,34,125
MJ Lumb,278,185,12,23,150
MK Pandey,2211,1819,94,24,122
MK Tiwary,1638,1377,79,21,119
ML Hayden,1096,775,32,34,141
MS Bisla,794,676,39,20,117
MS Dhoni,3553,2535,143,25,140
N Rana,433,334,15,29,130
OA Shah,505,376,22,23,134
PA Patel,2316,1925,116,20,120
PC Valthaty,499,408,23,22,122
PD Collingwood,203,153,7,29,133
Q de Kock,725,539,26,28,135
R Dravid,2173,1844,82,26,118
RA Tripathi,391,261,14,28,150
RG Sharma,4184,3166,153,27,132
RR Pant,563,368,24,23,153
RS Bopara,531,446,22,24,119
RV Uthappa,3767,2793,143,26,135
S Badrinath,1438,1181,65,22,122
S Dhawan,3541,2863,126,28,124
SA Asnodkar,423,327,19,22,129
SC Ganguly,1343,1230,56,24,109
SE Marsh,2473,1820,69,36,136
SK Raina,4526,3200,157,29,141
SM Katich,240,178,11,22,135
SPD Smith,1689,1272,62,27,133
SR Tendulkar,2331,1893,78,30,123
SR Watson,2612,1859,98,27,141
SS Iyer,806,618,32,25,130
SS Tiwary,1271,1043,64,20,122
ST Jayasuriya,760,514,30,25,148
SV Samson,1426,1128,62,23,126
SW Billings,226,162,10,23,140
TM Dilshan,1138,971,50,23,117
TM Head,204,146,10,20,140
V Kohli,4412,3364,141,31,131
V Sehwag,2713,1691,104,26,160
WP Saha,1553,1166,78,20,133
YK Pathan,2910,1954,133,22,149
Yuvraj Singh,2579,1942,116,22,133
